transaction_date,description,reference,amount,type
2026-06-01,Beginning balance,BALANCE,25000.00,Balance
2026-06-03,Customer payment - Acadia Health Partners,RCPT-201,18250.00,Deposit
2026-06-04,Office rent payment,CHK-1045,-3200.00,Check
2026-06-06,Utility payment,ACH-882,-465.00,ACH
2026-06-08,Customer payment - Evergreen Medical Labs,RCPT-202,14220.00,Deposit
2026-06-10,Payroll disbursement,PAY-610,-8750.00,ACH
2026-06-12,Insurance payment,CHK-1046,-1225.00,Check
2026-06-15,Customer payment - Harbor Energy Co.,RCPT-203,8800.00,Deposit
2026-06-18,Supplies purchase,DBT-410,-675.00,Debit Card
2026-06-21,Customer payment - North Delta Equipment,RCPT-204,13450.00,Deposit
2026-06-23,Equipment repair,CHK-1047,-980.00,Check
2026-06-26,Merchant fee settlement,FEE-626,-65.00,Fee
2026-06-28,Deposit made late in day,DEP-628,4200.00,Deposit
